timestamp,open,high,low,close,volume,vol_ccy_quote,confirm,datetime
1749819600000,104848.7,105297.1,104672.8,104732.0,274.05477486,28750987.230531108,1,2025-06-13 13:00:00
1749823200000,104735.6,105014.8,104108.6,104964.0,582.19051465,60885855.72711713,1,2025-06-13 14:00:00
1749826800000,104964.1,105764.8,104826.9,105431.0,999.91756343,105210975.2956226,1,2025-06-13 15:00:00
1749830400000,105431.1,105977.1,105302.7,105777.9,369.84763616,39097667.00354787,1,2025-06-13 16:00:00
1749834000000,105777.9,105777.9,104858.0,105378.3,227.13983273,23905724.59406017,1,2025-06-13 17:00:00
1749837600000,105378.4,105483.6,104666.6,105186.5,179.01551514,18797130.407806616,1,2025-06-13 18:00:00
1749841200000,105186.5,105439.9,104894.7,105101.9,136.9105363,14395024.68379455,1,2025-06-13 19:00:00
1749844800000,105100.6,105515.5,105017.2,105434.1,107.01728582,11267064.121835325,1,2025-06-13 20:00:00
1749848400000,105434.2,105793.9,105316.6,105613.7,83.9436096,8860624.31188614,1,2025-06-13 21:00:00
1749852000000,105613.8,105855.9,105537.2,105748.9,90.9161026,9612354.36308397,1,2025-06-13 22:00:00
1749855600000,105748.9,106188.0,105748.9,106066.1,115.45937669,12234149.317034667,1,2025-06-13 23:00:00
1749859200000,106066.1,106219.2,105687.7,105812.1,190.75994139,20207603.685241524,1,2025-06-14 00:00:00
